"Phylum","Genus","OTU","log2FoldChange","Habitat Preference","Preference"
"Verrucomicrobia","unclassified","Otu00303",5.38549665280246,"Epilimnion Low-Nutrient","Free-Living"
"Actinobacteria","acIV-A","Otu00094",4.42711782764047,"Epilimnion Low-Nutrient","Free-Living"
"Actinobacteria","acTH1-A","Otu00046",3.92269784714777,"Epilimnion Low-Nutrient","Free-Living"
"Betaproteobacteria","Pnec","Otu00013",3.91843922777434,"Epilimnion Low-Nutrient","Free-Living"
"Betaproteobacteria","betIII-A","Otu00189",3.82298863820424,"Epilimnion Low-Nutrient","Free-Living"
"Chloroflexi","Anaerolinea","Otu00454",2.33254855151666,"Epilimnion Low-Nutrient","Particle-Associated"
"Chloroflexi","unclassified","Otu00551",2.45528767463396,"Epilimnion Low-Nutrient","Particle-Associated"
"unclassified","unclassified","Otu00375",2.48398139309524,"Epilimnion Low-Nutrient","Particle-Associated"
"Actinobacteria","Myco","Otu00313",2.55309891726886,"Epilimnion High-Nutrient","Particle-Associated"
"Chloroflexi","unclassified","Otu00114",2.5695966964287,"Epilimnion Low-Nutrient","Particle-Associated"
"Bacteroidetes","unclassified","Otu00188",10.6132280899782,"Free-Living Epilimnion","Low-Nutrient"
"Bacteroidetes","unclassified","Otu00185",9.38612272883842,"Free-Living Epilimnion","Low-Nutrient"
"Deltaproteobacteria","OM27_clade","Otu00187",9.22368374820076,"Particle-Associated Hypolimnion","Low-Nutrient"
"unclassified","unclassified","Otu00382",9.14373614261074,"Free-Living Epilimnion","Low-Nutrient"
"Cyanobacteria","unclassified","Otu00270",8.97290147471118,"Particle-Associated Epilimnion","Low-Nutrient"
"Betaproteobacteria","betI-A","Otu00004",2.44679654180175,"Particle-Associated Hypolimnion","High-Nutrient"
"Verrucomicrobia","unclassified","Otu00005",2.98081985875223,"Particle-Associated Hypolimnion","High-Nutrient"
"Bacteroidetes","unclassified","Otu00118",3.52007884515878,"Free-Living Hypolimnion","High-Nutrient"
"Betaproteobacteria","Dechloromonas","Otu00123",3.85028813175838,"Particle-Associated Hypolimnion","High-Nutrient"
"Bacteroidetes","unclassified","Otu00120",3.88099193782493,"Particle-Associated Hypolimnion","High-Nutrient"
"Bacteroidetes","unclassified","Otu00188",9.94036030644912,"Low-Nutrient Free-Living","Epilimnion"
"Bacteroidetes","unclassified","Otu00492",8.55695195220789,"Low-Nutrient Free-Living","Epilimnion"
"Verrucomicrobia","CandidatusXiphinematobacter","Otu00521",8.27222624591178,"Low-Nutrient Free-Living","Epilimnion"
"Bacteroidetes","unclassified","Otu00334",8.22981882561765,"Low-Nutrient Free-Living","Epilimnion"
"Betaproteobacteria","unclassified","Otu00087",8.06090739529267,"Low-Nutrient Particle-Associated","Epilimnion"
"Betaproteobacteria","betI-A","Otu00004",2.06683140203579,"High-Nutrient Free-Living","Hypolimnion"
"Actinobacteria","acI-C","Otu00239",3.06468180540494,"High-Nutrient Free-Living","Hypolimnion"
"Chloroflexi","unclassified","Otu00097",3.11385081139184,"High-Nutrient Free-Living","Hypolimnion"
"NPL-UPA2","unclassified","Otu00843",3.37340732214729,"High-Nutrient Free-Living","Hypolimnion"
"Betaproteobacteria","betI-A","Otu00282",3.73326384106818,"High-Nutrient Particle-Associated","Hypolimnion"
