lakename,depth,temp,DO,DO%,SpC,pH,secchi,trophicstate
BAK,0.5,22.57,10.04,112.2,265.4,8.27,1.7,Eutrophic
BAK,1,22.53,9.71,111,265.4,8.25,1.7,Eutrophic
BAK,2,21.82,8.7,96,267.7,8.04,1.7,Eutrophic
BAK,3,18.88,4.55,46.6,270.3,7.61,1.7,Eutrophic
BAK,4,12.12,0.91,8.3,270.1,7.27,1.7,Eutrophic
BAK,5,9.67,0.7,6.1,272.8,7.21,1.7,Eutrophic
BAK,6,8.75,0.55,4.6,275.7,7.19,1.7,Eutrophic
BAK,7,8.18,0.48,4.4,289.5,7.12,1.7,Eutrophic
BAS,0.5,23.86,11.55,136.4,328.7,8.48,0.9,Eutrophic
BAS,1,23.11,10.68,121.4,329.6,8.37,0.9,Eutrophic
BAS,2,22.88,9.48,110.5,332.4,8.29,0.9,Eutrophic
BAS,3,22.62,8.22,93.2,334.4,8.12,0.9,Eutrophic
BAS,4,20.69,0.7,7.7,348.9,7.37,0.9,Eutrophic
BAS,5,14.61,0.48,4.8,360.1,7.06,0.9,Eutrophic
BAS,6,11.88,0.45,4.2,359.8,6.98,0.9,Eutrophic
BAS,7,10.55,0.39,3.3,359.1,6.96,0.9,Eutrophic
BAS,8,9.75,0.33,3.3,360.7,6.92,0.9,Eutrophic
BAS,9,9.58,0.39,3.4,362.3,6.9,0.9,Eutrophic
BAS,11,9.38,0.34,2.8,369,6.85,0.9,Eutrophic
BAS,13,9.27,0.37,2.9,375.4,6.85,0.9,Eutrophic
BST,0.5,21.91,14.25,160,321.7,8.62,1.5,Mesotrophic
BST,1,21.9,14.28,160.4,321.2,8.63,1.5,Mesotrophic
BST,2,21.13,14.85,166.6,339.2,8.48,1.5,Mesotrophic
BST,3,18.7,14.16,144.2,339.2,8.33,1.5,Mesotrophic
BST,4,15,9.11,89,338.5,8.01,1.5,Mesotrophic
BST,5,11.06,1.3,11.4,345.7,7.35,1.5,Mesotrophic
BST,6,9.49,0.8,6.4,346.9,7.34,1.5,Mesotrophic
BST,7,8.05,0.5,3.7,349.2,7.34,1.5,Mesotrophic
BST,8,7.62,0.41,3.8,359.8,7.3,1.5,Mesotrophic
BST,9,7.35,0.38,3.5,378.9,7.24,1.5,Mesotrophic
BST,10,7.32,0.37,2.9,396.4,7.2,1.5,Mesotrophic
BRI,0.5,22.64,10.45,120.5,380.7,8.2,1.5,Mesotrophic
BRI,1,22.64,10.4,119.2,379.8,8.2,1.5,Mesotrophic
BRI,2,22.6,10.03,115.6,379.4,8.2,1.5,Mesotrophic
BRI,3,22.57,10.2,118.3,381.2,8.19,1.5,Mesotrophic
BRI,4,18.7,3.66,40.1,448.6,7.42,1.5,Mesotrophic
BRI,5,14.5,0.66,6.4,463,7.21,1.5,Mesotrophic
BRI,6,12.2,0.5,4.5,468,7.17,1.5,Mesotrophic
BRI,7,10.62,0.41,3.7,468.1,7.19,1.5,Mesotrophic
BRI,8,9.69,0.41,3.2,469.1,7.18,1.5,Mesotrophic
BRI,9,8.65,0.4,3.1,466.8,7.19,1.5,Mesotrophic
BRI,10,8.37,0.35,3,475.2,7.18,1.5,Mesotrophic
BRI,11,8.14,0.34,2.9,475.6,7.2,1.5,Mesotrophic
BRI,12,7.77,0.32,2.7,479.3,7.2,1.5,Mesotrophic
BRI,13,7.57,0.29,2.4,488.3,7.16,1.5,Mesotrophic
GUL,0.5,23.35,10.36,122.1,366.9,8.24,2.3,Oligotrophic
GUL,1,23.2,10.5,124,367.5,8.24,2.3,Oligotrophic
GUL,2,23.09,10.07,117.6,366.6,8.24,2.3,Oligotrophic
GUL,3,23,10.63,124,366.6,8.25,2.3,Oligotrophic
GUL,4,22.92,10.45,123.6,366.9,8.25,2.3,Oligotrophic
GUL,5,22.86,10.53,124.4,366.9,8.25,2.3,Oligotrophic
GUL,6,22.81,10.63,121.3,366.6,8.24,2.3,Oligotrophic
GUL,7,22.79,10.28,120,367.1,8.24,2.3,Oligotrophic
GUL,8,22.73,10.09,118.3,367.9,8.24,2.3,Oligotrophic
GUL,9,19.78,11.96,130.6,385.5,8.08,2.3,Oligotrophic
GUL,10,14.78,13.62,134.3,385.5,8.14,2.3,Oligotrophic
GUL,11,12.42,13.66,131.7,387.8,8.13,2.3,Oligotrophic
GUL,12,10.84,13.48,122.2,388.6,8.02,2.3,Oligotrophic
GUL,13,10.16,12.98,118.7,390.7,7.93,2.3,Oligotrophic
GUL,14,9.85,12.76,105,390,7.88,2.3,Oligotrophic
GUL,15,9.42,11.43,99,391.6,7.84,2.3,Oligotrophic
GUL,17,9.11,10.21,86.5,393,7.75,2.3,Oligotrophic
GUL,19,8.9,8.79,75.9,394.3,7.71,2.3,Oligotrophic
GUL,21,8.75,8.51,75.6,394.2,7.68,2.3,Oligotrophic
GUL,23,8.63,8,68.4,394,7.68,2.3,Oligotrophic
GUL,25,8.53,7.16,62.1,395.1,7.64,2.3,Oligotrophic
GUL,27,8.44,6.71,58,395.2,7.62,2.3,Oligotrophic
GUL,29,8.35,6.15,52.3,396,7.59,2.3,Oligotrophic
LEE,0.5,23.42,11.36,130.2,276.9,8.38,1.7,Oligotrophic
LEE,1,23.41,10.67,126.7,276.9,8.37,1.7,Oligotrophic
LEE,2,23.4,11.03,127.2,278.9,8.37,1.7,Oligotrophic
LEE,3,23.38,10.24,121.3,277.5,8.38,1.7,Oligotrophic
LEE,4,23.35,10.6,123.5,277.5,8.38,1.7,Oligotrophic
LEE,5,23.21,10.33,120.3,277.5,8.38,1.7,Oligotrophic
LEE,6,20.74,12.26,137.1,303.1,8.24,1.7,Oligotrophic
LEE,7,16.11,9.61,97.4,314.9,7.71,1.7,Oligotrophic
LEE,8,13.61,8.68,80.2,316,7.59,1.7,Oligotrophic
LEE,9,11.14,7.66,68.2,317.3,7.5,1.7,Oligotrophic
LEE,10,10.05,3.98,35.8,321.8,7.41,1.7,Oligotrophic
LEE,11,9.23,2.41,20.5,324.1,7.29,1.7,Oligotrophic
LEE,13,8.42,0.8,6.5,332.2,7.2,1.7,Oligotrophic
LON,0.5,23.51,10.95,128.5,378,8.31,4.8,Oligotrophic
LON,1,23.51,10.5,122.6,378.2,8.31,4.8,Oligotrophic
LON,2,23.46,10.76,125.5,377.8,8.31,4.8,Oligotrophic
LON,3,23.37,10.97,129.1,378.1,8.31,4.8,Oligotrophic
LON,4,23.17,11.33,129.1,378.5,8.27,4.8,Oligotrophic
LON,5,23.05,10.18,118.3,379.5,8.21,4.8,Oligotrophic
LON,6,23.53,11.35,134.4,382.5,8.03,4.8,Oligotrophic
LON,7,19.77,7.99,89.8,413.4,7.4,4.8,Oligotrophic
PAY,0.5,23.87,11.41,134.1,327.5,8.31,2.1,Mesotrophic
PAY,1,23.6,10.78,128.7,328,8.3,2.1,Mesotrophic
PAY,2,23.27,10.97,128.1,326.3,8.3,2.1,Mesotrophic
PAY,3,22.15,10.27,117.7,340.6,8.07,2.1,Mesotrophic
PAY,4,19.9,7.83,83.1,347.6,7.66,2.1,Mesotrophic
PAY,5,14.88,3.24,31.5,346.1,7.33,2.1,Mesotrophic
PAY,6,11.68,1.24,11.23,348.8,7.18,2.1,Mesotrophic
PAY,7,9.5,1.08,9.1,349.9,7.11,2.1,Mesotrophic
PAY,8,8.54,0.91,7.4,348.3,7.09,2.1,Mesotrophic
PAY,9,8.11,0.82,6.8,348.6,7.07,2.1,Mesotrophic
PAY,10,7.88,0.75,6.4,352.9,7.05,2.1,Mesotrophic
PAY,11,7.76,0.82,7,354,7.05,2.1,Mesotrophic
PAY,12,7.58,0.66,5.9,359.1,7.01,2.1,Mesotrophic
PAY,13,7.53,0.6,4.7,364.8,6.99,2.1,Mesotrophic
SHE,0.5,24.32,8.52,101.6,170.4,8.04,2.1,Mixed
SHE,1,24.22,8.55,102.6,170.5,8.06,2.1,Mixed
SHE,2,24.17,8.48,100.8,170.9,8.1,2.1,Mixed
SHE,3,24.16,8.7,103.6,170.3,8.14,2.1,Mixed
SHE,4,24.05,8.61,102.2,170.7,8.08,2.1,Mixed
SHE,5,24.02,8.42,99.1,170.6,8.04,2.1,Mixed
SHE,6,24,8.51,101.3,171.1,8.04,2.1,Mixed
SHE,7,23.99,8.61,102.6,170.1,8.08,2.1,Mixed
SHE,8,23.93,8.3,97.5,170.5,8.04,2.1,Mixed
SHE,9,23.83,7.37,87.5,172.6,7.78,2.1,Mixed
SHE,10,23.73,5.23,60.3,173.5,7.6,2.1,Mixed
SIX,0.5,23.93,11.71,139.7,421.3,8.29,3.8,Oligotrophic
SIX,1,23.74,11.91,140.3,422.2,8.28,3.8,Oligotrophic
SIX,2,23.42,11.91,140.1,422.2,8.28,3.8,Oligotrophic
SIX,3,23.21,12,140.5,422.5,8.28,3.8,Oligotrophic
SIX,4,23.1,12.01,141.5,422.8,8.27,3.8,Oligotrophic
SIX,5,22.31,12.61,144.1,440,8.11,3.8,Oligotrophic
SIX,6,20.88,17.7,198.4,449.7,8.06,3.8,Oligotrophic
SIX,7,15.46,15.19,150,472.3,7.7,3.8,Oligotrophic
SIX,8,13.32,13.23,123.9,474.3,7.56,3.8,Oligotrophic
SIX,9,11.07,12.27,111.4,477.5,7.56,3.8,Oligotrophic
SIX,10,9.78,11,96.1,485.5,7.52,3.8,Oligotrophic
SIX,11,9.11,9.23,80.1,487.8,7.45,3.8,Oligotrophic
SIX,12,8.65,7.75,64.6,493.5,7.39,3.8,Oligotrophic
SIX,13,8.23,5.47,46.1,493.5,7.36,3.8,Oligotrophic
SIX,15,7.56,5.67,47.5,493.7,7.38,3.8,Oligotrophic
SIX,17,6.97,4.63,38.2,501,7.36,3.8,Oligotrophic
SIX,19,6.11,3.34,26.3,510.7,7.3,3.8,Oligotrophic
SIX,21,5.84,1.84,14.4,518.6,7.26,3.8,Oligotrophic
SIX,23,5.61,0.89,7,527.2,7.25,3.8,Oligotrophic
WIN,0.5,22.84,8.34,98.1,360.1,8.04,2.5,Eutrophic
WIN,1,22.82,9.14,107.4,360.2,8.03,2.5,Eutrophic
WIN,2,22.79,8.58,100.2,359.9,8.01,2.5,Eutrophic
WIN,3,22.41,4.67,54.8,371.2,7.66,2.5,Eutrophic
WIN,4,21.44,0.78,8.9,384.3,7.4,2.5,Eutrophic
WIN,5,18.01,0.38,4.3,422.2,7.27,2.5,Eutrophic
WIN,6,12.51,0.33,3.1,546.7,6.83,2.5,Eutrophic
