names	lakenames	limnion	filter	trophicstate	zm	totaldepth	sampledepth	DO	SpC	temp	pH	nitrate	chla	ammonia	SRP	TP	Ncoord	Wcoord	secchi	meandepth	totalvolume	totalarea	ProdLevel	quadrant
BAKE	Baker	Epilimnion	Free	Eutrophic	1	7.5	1	9.71	265.4	22.53	8.25	52.28	17.2	34.86	4.64	19.61	42.64	-85.5	1.7	NA	NA	NA	Productive	Free Epilimnion
BAKE3um	Baker	Epilimnion	Particle	Eutrophic	1	7.5	1	9.71	265.4	22.53	8.25	52.28	17.2	34.86	4.64	19.61	42.64	-85.5	1.7	NA	NA	NA	Productive	Particle Epilimnion
BAKH	Baker	Hypolimnion	Free	Eutrophic	1	7.5	5.5	0.625	274.25	9.205	7.2	NA	NA	NA	NA	NA	42.64	-85.5	1.7	NA	NA	NA	Productive	Free Hypolimnion
BAKH3um	Baker	Hypolimnion	Particle	Eutrophic	1	7.5	5.5	0.625	274.25	9.205	7.2	NA	NA	NA	NA	NA	42.64	-85.5	1.7	NA	NA	NA	Productive	Particle Hypolimnion
BASE	Baseline	Epilimnion	Free	Eutrophic	1	14.32	2	9.48	332.4	22.88	8.29	54.2	35.7	12.75	4.6	41	42.42	-85.85	0.9	NA	NA	NA	Productive	Free Epilimnion
BASE3um	Baseline	Epilimnion	Particle	Eutrophic	1	14.32	2	9.48	332.4	22.88	8.29	54.2	35.7	12.75	4.6	41	42.42	-85.85	0.9	NA	NA	NA	Productive	Particle Epilimnion
BASH	Baseline	Hypolimnion	Free	Eutrophic	1	14.32	11	0.34	369	9.38	6.85	NA	NA	NA	NA	NA	42.42	-85.85	0.9	NA	NA	NA	Productive	Free Hypolimnion
BASH3um	Baseline	Hypolimnion	Particle	Eutrophic	1	14.32	11	0.34	369	9.38	6.85	NA	NA	NA	NA	NA	42.42	-85.85	0.9	NA	NA	NA	Productive	Particle Hypolimnion
BRIE	Bristol	Epilimnion	Free	Mesotrophic	1	14.02	2	10.03	379.4	22.6	8.2	55.92	11.45	152.19	2.14	16.01	42.49	-85.25	1.5	6.47	3869067.08	598347.57	Productive	Free Epilimnion
BRIE3um	Bristol	Epilimnion	Particle	Mesotrophic	1	14.02	2	10.03	379.4	22.6	8.2	55.92	11.45	152.19	2.14	16.01	42.49	-85.25	1.5	6.47	3869067.08	598347.57	Productive	Particle Epilimnion
BRIH	Bristol	Hypolimnion	Free	Mesotrophic	1	14.02	11	0.34	475.6	8.14	7.2	NA	NA	NA	NA	NA	42.49	-85.25	1.5	6.47	3869067.08	598347.57	Productive	Free Hypolimnion
BRIH3um	Bristol	Hypolimnion	Particle	Mesotrophic	1	14.02	11	0.34	475.6	8.14	7.2	NA	NA	NA	NA	NA	42.49	-85.25	1.5	6.47	3869067.08	598347.57	Productive	Particle Hypolimnion
BSTE	Bassett	Epilimnion	Free	Mesotrophic	1	10.24	1	14.28	321.2	21.9	8.63	174.22	24.1	43.36	4.53	21.34	42.66	-85.48	1.5	NA	NA	NA	Productive	Free Epilimnion
BSTE3um	Bassett	Epilimnion	Particle	Mesotrophic	1	10.24	1	14.28	321.2	21.9	8.63	174.22	24.1	43.36	4.53	21.34	42.66	-85.48	1.5	NA	NA	NA	Productive	Particle Epilimnion
BSTH	Bassett	Hypolimnion	Free	Mesotrophic	1	10.24	8	0.41	359.8	7.62	7.3	NA	NA	NA	NA	NA	42.66	-85.48	1.5	NA	NA	NA	Productive	Free Hypolimnion
BSTH3um	Bassett	Hypolimnion	Particle	Mesotrophic	1	10.24	8	0.41	359.8	7.62	7.3	NA	NA	NA	NA	NA	42.66	-85.48	1.5	NA	NA	NA	Productive	Particle Hypolimnion
GULE	Gull	Epilimnion	Free	Oligotrophic	2	31.09	4	10.45	366.9	22.92	8.25	NA	NA	NA	NA	NA	42.38	-85.4	2.3	12.41	98474502.67	7936781.68	Unproductive	Free Epilimnion
GULE3um	Gull	Epilimnion	Particle	Oligotrophic	2	31.09	4	10.45	366.9	22.92	8.25	NA	NA	NA	NA	NA	42.38	-85.4	2.3	12.41	98474502.67	7936781.68	Unproductive	Particle Epilimnion
GULH	Gull	Hypolimnion	Free	Oligotrophic	2	31.09	17	10.21	393	9.11	7.75	NA	NA	NA	NA	NA	42.38	-85.4	2.3	12.41	98474502.67	7936781.68	Unproductive	Free Hypolimnion
GULH3um	Gull	Hypolimnion	Particle	Oligotrophic	2	31.09	17	10.21	393	9.11	7.75	NA	NA	NA	NA	NA	42.38	-85.4	2.3	12.41	98474502.67	7936781.68	Unproductive	Particle Hypolimnion
LEEE	Lee	Epilimnion	Free	Oligotrophic	1	15.24	3	10.24	277.5	23.38	8.38	70.88	5.23	NA	3.19	11	42.18	-85.12	1.7	8.18	3257174.68	398409.2	Unproductive	Free Epilimnion
LEEE3um	Lee	Epilimnion	Particle	Oligotrophic	1	15.24	3	10.24	277.5	23.38	8.38	70.88	5.23	NA	3.19	11	42.18	-85.12	1.7	8.18	3257174.68	398409.2	Unproductive	Particle Epilimnion
LEEH	Lee	Hypolimnion	Free	Oligotrophic	1	15.24	11	2.41	324.1	9.23	7.29	NA	NA	NA	NA	NA	42.18	-85.12	1.7	8.18	3257174.68	398409.2	Unproductive	Free Hypolimnion
LEEH3um	Lee	Hypolimnion	Particle	Oligotrophic	1	15.24	11	2.41	324.1	9.23	7.29	NA	NA	NA	NA	NA	42.18	-85.12	1.7	8.18	3257174.68	398409.2	Unproductive	Particle Hypolimnion
LONE	LittleLong	Epilimnion	Free	Oligotrophic	2	7.76	3	10.97	378.1	23.37	8.31	NA	NA	NA	NA	NA	42.43	-85.44	4.8	NA	NA	NA	Unproductive	Free Epilimnion
LONH	LittleLong	Hypolimnion	Free	Oligotrophic	2	7.76	7	7.99	413.4	19.77	7.4	NA	NA	NA	NA	NA	42.43	-85.44	4.8	NA	NA	NA	Unproductive	Free Hypolimnion
LONH3um	LittleLong	Hypolimnion	Particle	Oligotrophic	2	7.76	7	7.99	413.4	19.77	7.4	NA	NA	NA	NA	NA	42.43	-85.44	4.8	NA	NA	NA	Unproductive	Particle Hypolimnion
PAYE	Payne	Epilimnion	Free	Mesotrophic	2	13.72	2	10.97	326.3	23.27	8.3	53.13	11.4	57.82	2.45	12.97	42.64	-85.52	NA	4.91	2365008.87	482142.47	Productive	Free Epilimnion
PAYE3um	Payne	Epilimnion	Particle	Mesotrophic	2	13.72	2	10.97	326.3	23.27	8.3	53.13	11.4	57.82	2.45	12.97	42.64	-85.52	NA	4.91	2365008.87	482142.47	Productive	Particle Epilimnion
PAYH	Payne	Hypolimnion	Free	Mesotrophic	2	13.72	11	0.82	354	7.76	7.05	NA	NA	NA	NA	NA	42.64	-85.52	NA	4.91	2365008.87	482142.47	Productive	Free Hypolimnion
PAYH3um	Payne	Hypolimnion	Particle	Mesotrophic	2	13.72	11	0.82	354	7.76	7.05	NA	NA	NA	NA	NA	42.64	-85.52	NA	4.91	2365008.87	482142.47	Productive	Particle Hypolimnion
SHEE	Sherman	Mixed	Free	Mesotrophic	1	11.28	2	8.48	170.9	24.17	8.1	64.92	13.93	NA	2.8	24.03	42.35	-85.39	2.1	NA	NA	NA	Productive	Free Mixed
SHEE3um	Sherman	Mixed	Particle	Mesotrophic	1	11.28	2	8.48	170.9	24.17	8.1	64.92	13.93	NA	2.8	24.03	42.35	-85.39	2.1	NA	NA	NA	Productive	Particle Mixed
SHEH	Sherman	Mixed	Free	Mesotrophic	1	11.28	9	7.37	172.6	23.83	7.78	NA	NA	NA	NA	NA	42.35	-85.39	2.1	NA	NA	NA	Productive	Free Mixed
SHEH3um	Sherman	Mixed	Particle	Mesotrophic	1	11.28	9	7.37	172.6	23.83	7.78	NA	NA	NA	NA	NA	42.35	-85.39	2.1	NA	NA	NA	Productive	Particle Mixed
SIXE	Sixteen	Epilimnion	Free	Oligotrophic	2	23.6	3	12	422.5	23.21	8.28	1917.6	5.03	127.54	1	9.34	42.56	-85.61	3.8	NA	NA	NA	Unproductive	Free Epilimnion
SIXE3um	Sixteen	Epilimnion	Particle	Oligotrophic	2	23.6	3	12	422.5	23.21	8.28	NA	NA	NA	NA	NA	42.56	-85.61	3.8	NA	NA	NA	Unproductive	Particle Epilimnion
SIXH	Sixteen	Hypolimnion	Free	Oligotrophic	2	23.6	16	5.15	497.35	7.27	7.37	NA	NA	NA	NA	NA	42.56	-85.61	3.8	NA	NA	NA	Unproductive	Free Hypolimnion
SIXH3um	Sixteen	Hypolimnion	Particle	Oligotrophic	2	23.6	16	5.15	497.35	7.27	7.37	NA	NA	NA	NA	NA	42.56	-85.61	3.8	NA	NA	NA	Unproductive	Particle Hypolimnion
WINE	Wintergreen	Epilimnion	Free	Eutrophic	1	6.5	2	8.58	359.9	22.79	8.01	129.74	22.7	136.04	2.69	33.09	42.23	-85.23	2.5	NA	NA	NA	Productive	Free Epilimnion
WINE3um	Wintergreen	Epilimnion	Particle	Eutrophic	1	6.5	2	8.58	359.9	22.79	8.01	129.74	22.7	136.04	2.69	33.09	42.23	-85.23	2.5	NA	NA	NA	Productive	Particle Epilimnion
WINH	Wintergreen	Hypolimnion	Free	Eutrophic	1	6.5	5	0.38	422.2	18.01	7.27	NA	NA	NA	NA	NA	42.23	-85.23	2.5	NA	NA	NA	Productive	Free Hypolimnion
WINH3um	Wintergreen	Hypolimnion	Particle	Eutrophic	1	6.5	5	0.38	422.2	18.01	7.27	NA	NA	NA	NA	NA	42.23	-85.23	2.5	NA	NA	NA	Productive	Particle Hypolimnion
